Date,Name / Description,Expense/Income,Amount (EUR),Category,Transaction,Transaction vs category
2023-08-15,gasolinera magna,Expense,135.55,Transport,gasolinera magna,gasolinera magna (Transport)
2023-08-15,restaurante italiano 77,Expense,296.01,Dining Out,restaurante italiano 77,restaurante italiano 77 (Dining Out)
2023-08-16,walmart compra semanal,Expense,277.89,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-08-16,telmex internet,Expense,158.57,Utilities,telmex internet,telmex internet (Utilities)
2023-08-16,cfe recibo luz,Expense,294.32,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-08-17,restaurante italiano,Expense,184.17,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-08-17,consulta medico,Expense,35.71,Health,consulta medico,consulta medico (Health)
2023-08-18,oxxo comida rapida,Expense,113.35,Groceries,oxxo comida rapida,oxxo comida rapida (Groceries)
2023-08-18,agua y drenaje,Expense,37.82,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-08-18,deposito nomina mensual,Income,273.87,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-08-19,deposito nomina mensual,Income,1546.17,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-08-19,dividendo acciones,Income,303.4,Investment,dividendo acciones,dividendo acciones (Investment)
2023-08-20,mcdonalds burger,Expense,226.18,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-08-21,ropa de marca 99,Expense,264.11,Shopping,ropa de marca 99,ropa de marca 99 (Shopping)
2023-08-22,telmex internet 99,Expense,262.02,Utilities,telmex internet 99,telmex internet 99 (Utilities)
2023-08-22,farmacia benavides,Expense,29.95,Health,farmacia benavides,farmacia benavides (Health)
2023-08-22,cineplex boletos,Expense,163.18,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-08-23,amazon compra online,Expense,261.68,Shopping,amazon compra online,amazon compra online (Shopping)
2023-08-23,seguro de gastos medicos,Expense,292.25,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-08-23,seguro de gastos medicos,Expense,89.23,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-08-24,netflix premium,Expense,263.25,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-08-24,mcdonalds burger,Expense,5.6,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-08-24,telmex internet,Expense,184.24,Utilities,telmex internet,telmex internet (Utilities)
2023-08-25,dividendo acciones,Income,1601.46,Investment,dividendo acciones,dividendo acciones (Investment)
2023-08-25,restaurante italiano,Expense,196.78,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-08-25,vuelo aeromexico,Expense,147.97,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-08-26,regalo de cumpleaños,Income,1412.93,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-08-26,ropa de marca,Expense,153.37,Shopping,ropa de marca,ropa de marca (Shopping)
2023-08-27,videojuego steam,Expense,155.47,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-08-27,walmart compra semanal,Expense,128.53,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-08-27,restaurante italiano,Expense,283.03,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-08-28,agua y drenaje 75,Expense,101.93,Utilities,agua y drenaje 75,agua y drenaje 75 (Utilities)
2023-08-28,consulta medico,Expense,250.97,Health,consulta medico,consulta medico (Health)
2023-08-28,regalo de cumpleaños,Income,669.25,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-08-29,telmex internet,Expense,285.78,Utilities,telmex internet,telmex internet (Utilities)
2023-08-29,spotify ab by adyen,Expense,71.59,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-08-30,peluqueria corte,Expense,10.95,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-08-30,gimnasio membresia,Expense,267.55,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-08-30,pago renta mensual,Expense,178.82,Rent,pago renta mensual,pago renta mensual (Rent)
2023-08-31,colegiatura universidad,Expense,59.4,Education,colegiatura universidad,colegiatura universidad (Education)
2023-08-31,electronicos gadget,Expense,243.56,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-09-01,gimnasio membresia,Expense,24.33,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-09-01,taxi de noche,Expense,19.69,Transport,taxi de noche,taxi de noche (Transport)
2023-09-01,colegiatura universidad,Expense,136.07,Education,colegiatura universidad,colegiatura universidad (Education)
2023-09-02,gimnasio membresia,Expense,294.95,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-09-02,pago renta mensual 24,Expense,272.54,Rent,pago renta mensual 24,pago renta mensual 24 (Rent)
2023-09-02,ropa de marca 89,Expense,103.13,Shopping,ropa de marca 89,ropa de marca 89 (Shopping)
2023-09-03,regalo de cumpleaños,Income,1033.2,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-09-04,pago renta mensual,Expense,18.16,Rent,pago renta mensual,pago renta mensual (Rent)
2023-09-04,farmacia benavides 95,Expense,238.83,Health,farmacia benavides 95,farmacia benavides 95 (Health)
2023-09-05,taxi de noche,Expense,230.3,Transport,taxi de noche,taxi de noche (Transport)
2023-09-05,restaurante italiano,Expense,64.14,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-09-06,pago renta mensual 97,Expense,279.45,Rent,pago renta mensual 97,pago renta mensual 97 (Rent)
2023-09-06,cafeteria la pausa,Expense,34.55,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-09-07,ropa de marca,Expense,15.36,Shopping,ropa de marca,ropa de marca (Shopping)
2023-09-08,peluqueria corte,Expense,38.23,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-09-09,recarga mi transporte,Expense,276.75,Transport,recarga mi transporte,recarga mi transporte (Transport)
2023-09-09,dividendo acciones,Income,915.84,Investment,dividendo acciones,dividendo acciones (Investment)
2023-09-10,reembolso compra,Income,972.07,Refund,reembolso compra,reembolso compra (Refund)
2023-09-10,vuelo aeromexico,Expense,192.94,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-09-11,regalo de cumpleaños,Income,889.31,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-09-11,taxi de noche,Expense,66.44,Transport,taxi de noche,taxi de noche (Transport)
2023-09-11,farmacia benavides,Expense,119.85,Health,farmacia benavides,farmacia benavides (Health)
2023-09-12,agua y drenaje 40,Expense,262.01,Utilities,agua y drenaje 40,agua y drenaje 40 (Utilities)
2023-09-13,colegiatura universidad,Expense,197.17,Education,colegiatura universidad,colegiatura universidad (Education)
2023-09-14,alquiler coche,Expense,282.88,Travel,alquiler coche,alquiler coche (Travel)
2023-09-14,vuelo aeromexico 5,Expense,259.7,Travel,vuelo aeromexico 5,vuelo aeromexico 5 (Travel)
2023-09-14,videojuego steam 17,Expense,119.34,Entertainment,videojuego steam 17,videojuego steam 17 (Entertainment)
2023-09-15,gasolinera magna,Expense,92.93,Transport,gasolinera magna,gasolinera magna (Transport)
2023-09-16,recarga mi transporte,Expense,268.27,Transport,recarga mi transporte,recarga mi transporte (Transport)
2023-09-16,netflix premium,Expense,287.21,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-09-16,concierto ticketmaster,Expense,88.76,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-09-17,pago cliente proyecto,Income,1555.43,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-09-17,tienda de abarrotes,Expense,99.45,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-09-18,cineplex boletos,Expense,280.91,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-09-18,vuelo aeromexico,Expense,212.32,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-09-19,vuelo aeromexico,Expense,155.89,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-09-19,pago renta mensual,Expense,234.83,Rent,pago renta mensual,pago renta mensual (Rent)
2023-09-19,taxi de noche,Expense,229.66,Transport,taxi de noche,taxi de noche (Transport)
2023-09-20,ropa de marca 6,Expense,174.67,Shopping,ropa de marca 6,ropa de marca 6 (Shopping)
2023-09-21,libros de texto,Expense,53.39,Education,libros de texto,libros de texto (Education)
2023-09-21,netflix premium,Expense,91.56,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-09-21,pago renta mensual,Expense,36.91,Rent,pago renta mensual,pago renta mensual (Rent)
2023-09-22,videojuego steam,Expense,191.35,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-09-22,supermercado la esquina,Expense,24.19,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-09-22,alquiler coche,Expense,190.77,Travel,alquiler coche,alquiler coche (Travel)
2023-09-23,walmart compra semanal,Expense,145.62,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-09-23,seguro de gastos medicos,Expense,266.68,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-09-23,cfe recibo luz,Expense,112.14,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-09-24,consulta medico,Expense,100.26,Health,consulta medico,consulta medico (Health)
2023-09-25,libros de texto,Expense,144.58,Education,libros de texto,libros de texto (Education)
2023-09-25,farmacia benavides 99,Expense,148.9,Health,farmacia benavides 99,farmacia benavides 99 (Health)
2023-09-25,dividendo acciones,Income,1779.55,Investment,dividendo acciones,dividendo acciones (Investment)
2023-09-26,cineplex boletos,Expense,142.76,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-09-27,vuelo aeromexico 48,Expense,135.21,Travel,vuelo aeromexico 48,vuelo aeromexico 48 (Travel)
2023-09-28,colegiatura universidad 31,Expense,114.49,Education,colegiatura universidad 31,colegiatura universidad 31 (Education)
2023-09-28,reembolso compra,Income,458.65,Refund,reembolso compra,reembolso compra (Refund)
2023-09-29,agua y drenaje,Expense,275.32,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-09-29,taxi de noche,Expense,180.41,Transport,taxi de noche,taxi de noche (Transport)
2023-09-30,spa masaje,Expense,236.67,Personal Care,spa masaje,spa masaje (Personal Care)
2023-09-30,amazon compra online,Expense,239.28,Shopping,amazon compra online,amazon compra online (Shopping)
2023-10-01,uber viaje,Expense,221.25,Transport,uber viaje,uber viaje (Transport)
2023-10-02,supermercado la esquina,Expense,239.82,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-10-02,alquiler coche,Expense,77.3,Travel,alquiler coche,alquiler coche (Travel)
2023-10-03,concierto ticketmaster 28,Expense,74.79,Entertainment,concierto ticketmaster 28,concierto ticketmaster 28 (Entertainment)
2023-10-04,alquiler coche,Expense,44.5,Travel,alquiler coche,alquiler coche (Travel)
2023-10-05,libros de texto,Expense,216.34,Education,libros de texto,libros de texto (Education)
2023-10-05,farmacia benavides,Expense,276.38,Health,farmacia benavides,farmacia benavides (Health)
2023-10-05,hotel la playa 4,Expense,31.84,Travel,hotel la playa 4,hotel la playa 4 (Travel)
2023-10-06,seguro de gastos medicos,Expense,285.68,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-10-06,colegiatura universidad,Expense,200.88,Education,colegiatura universidad,colegiatura universidad (Education)
2023-10-07,peluqueria corte,Expense,136.1,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-10-08,alquiler coche,Expense,257.96,Travel,alquiler coche,alquiler coche (Travel)
2023-10-08,consulta medico,Expense,236.28,Health,consulta medico,consulta medico (Health)
2023-10-08,tienda de abarrotes,Expense,17.65,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-10-09,electronicos gadget,Expense,79.54,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-10-10,pago cliente proyecto,Income,572.46,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-10-10,reembolso compra,Income,1068.84,Refund,reembolso compra,reembolso compra (Refund)
2023-10-11,colegiatura universidad,Expense,211.99,Education,colegiatura universidad,colegiatura universidad (Education)
2023-10-12,alquiler coche,Expense,182.62,Travel,alquiler coche,alquiler coche (Travel)
2023-10-13,consulta medico,Expense,114.56,Health,consulta medico,consulta medico (Health)
2023-10-13,dividendo acciones,Income,1139.24,Investment,dividendo acciones,dividendo acciones (Investment)
2023-10-14,peluqueria corte 62,Expense,51.93,Personal Care,peluqueria corte 62,peluqueria corte 62 (Personal Care)
2023-10-14,mcdonalds burger,Expense,170.74,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-10-15,spotify ab by adyen,Expense,130.34,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-10-15,spa masaje,Expense,209.57,Personal Care,spa masaje,spa masaje (Personal Care)
2023-10-16,electronicos gadget,Expense,150.31,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-10-16,mcdonalds burger,Expense,17.94,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-10-16,farmacia benavides,Expense,248.87,Health,farmacia benavides,farmacia benavides (Health)
2023-10-17,regalo de cumpleaños,Income,300.75,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-10-18,farmacia benavides,Expense,125.3,Health,farmacia benavides,farmacia benavides (Health)
2023-10-18,gasolinera magna,Expense,187.62,Transport,gasolinera magna,gasolinera magna (Transport)
2023-10-19,libros de texto 87,Expense,25.78,Education,libros de texto 87,libros de texto 87 (Education)
2023-10-19,spotify ab by adyen,Expense,48.81,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-10-20,spa masaje,Expense,173.2,Personal Care,spa masaje,spa masaje (Personal Care)
2023-10-21,reembolso compra,Income,325.35,Refund,reembolso compra,reembolso compra (Refund)
2023-10-21,cafeteria la pausa,Expense,185.65,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-10-22,uber viaje,Expense,18.33,Transport,uber viaje,uber viaje (Transport)
2023-10-23,cineplex boletos,Expense,210.35,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-10-24,farmacia benavides 86,Expense,213.28,Health,farmacia benavides 86,farmacia benavides 86 (Health)
2023-10-25,uber viaje,Expense,276.22,Transport,uber viaje,uber viaje (Transport)
2023-10-25,agua y drenaje,Expense,65.15,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-10-25,pago renta mensual,Expense,57.03,Rent,pago renta mensual,pago renta mensual (Rent)
2023-10-26,spotify ab by adyen 26,Expense,196.73,Subscriptions,spotify ab by adyen 26,spotify ab by adyen 26 (Subscriptions)
2023-10-26,cineplex boletos,Expense,277.08,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-10-26,netflix premium,Expense,148.0,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-10-27,pago renta mensual,Expense,25.0,Rent,pago renta mensual,pago renta mensual (Rent)
2023-10-27,mcdonalds burger,Expense,295.71,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-10-28,pago renta mensual 92,Expense,32.94,Rent,pago renta mensual 92,pago renta mensual 92 (Rent)
2023-10-28,colegiatura universidad,Expense,132.28,Education,colegiatura universidad,colegiatura universidad (Education)
2023-10-28,videojuego steam 59,Expense,296.44,Entertainment,videojuego steam 59,videojuego steam 59 (Entertainment)
2023-10-29,videojuego steam,Expense,291.51,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-10-30,cineplex boletos 43,Expense,120.24,Entertainment,cineplex boletos 43,cineplex boletos 43 (Entertainment)
2023-10-30,dividendo acciones,Income,476.57,Investment,dividendo acciones,dividendo acciones (Investment)
2023-10-30,cfe recibo luz 62,Expense,251.77,Utilities,cfe recibo luz 62,cfe recibo luz 62 (Utilities)
2023-10-31,cafeteria la pausa,Expense,196.08,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-11-01,spotify ab by adyen,Expense,191.35,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-11-02,pago renta mensual,Expense,260.64,Rent,pago renta mensual,pago renta mensual (Rent)
2023-11-02,spa masaje,Expense,171.66,Personal Care,spa masaje,spa masaje (Personal Care)
2023-11-03,pago renta mensual,Expense,81.56,Rent,pago renta mensual,pago renta mensual (Rent)
2023-11-04,cineplex boletos,Expense,43.27,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-11-04,electronicos gadget,Expense,77.3,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-11-05,libros de texto,Expense,211.69,Education,libros de texto,libros de texto (Education)
2023-11-06,tienda de abarrotes,Expense,108.3,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-11-06,cfe recibo luz,Expense,162.13,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-11-07,regalo de cumpleaños,Income,725.8,Gift,regalo de cumpleaños,regalo de cumpleaños (Gift)
2023-11-07,vuelo aeromexico,Expense,73.5,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-11-08,uber viaje 42,Expense,104.06,Transport,uber viaje 42,uber viaje 42 (Transport)
2023-11-09,farmacia benavides,Expense,29.68,Health,farmacia benavides,farmacia benavides (Health)
2023-11-09,electronicos gadget,Expense,123.58,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-11-10,restaurante italiano,Expense,194.88,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-11-11,colegiatura universidad 22,Expense,145.89,Education,colegiatura universidad 22,colegiatura universidad 22 (Education)
2023-11-11,telmex internet 20,Expense,56.03,Utilities,telmex internet 20,telmex internet 20 (Utilities)
2023-11-11,gasolinera magna,Expense,276.38,Transport,gasolinera magna,gasolinera magna (Transport)
2023-11-12,bono de fin de año 12,Income,304.75,Bonus,bono de fin de año 12,bono de fin de año 12 (Bonus)
2023-11-13,farmacia benavides,Expense,242.83,Health,farmacia benavides,farmacia benavides (Health)
2023-11-13,deposito nomina mensual,Income,643.98,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-11-13,pago renta mensual,Expense,279.24,Rent,pago renta mensual,pago renta mensual (Rent)
2023-11-14,cafeteria la pausa,Expense,243.32,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-11-14,videojuego steam,Expense,182.36,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-11-15,netflix premium,Expense,261.69,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-11-15,mcdonalds burger 20,Expense,219.09,Dining Out,mcdonalds burger 20,mcdonalds burger 20 (Dining Out)
2023-11-15,tienda de abarrotes 7,Expense,72.4,Groceries,tienda de abarrotes 7,tienda de abarrotes 7 (Groceries)
2023-11-16,concierto ticketmaster,Expense,59.89,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-11-16,electronicos gadget,Expense,54.97,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-11-16,vuelo aeromexico,Expense,204.61,Travel,vuelo aeromexico,vuelo aeromexico (Travel)
2023-11-17,amazon compra online,Expense,261.9,Shopping,amazon compra online,amazon compra online (Shopping)
2023-11-17,consulta medico,Expense,201.86,Health,consulta medico,consulta medico (Health)
2023-11-18,videojuego steam,Expense,21.92,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-11-18,spotify ab by adyen,Expense,57.6,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-11-18,deposito nomina mensual,Income,1909.72,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-11-19,supermercado la esquina,Expense,153.39,Groceries,supermercado la esquina,supermercado la esquina (Groceries)
2023-11-20,pago renta mensual,Expense,174.84,Rent,pago renta mensual,pago renta mensual (Rent)
2023-11-20,gasolinera magna,Expense,59.85,Transport,gasolinera magna,gasolinera magna (Transport)
2023-11-20,netflix premium 13,Expense,184.1,Subscriptions,netflix premium 13,netflix premium 13 (Subscriptions)
2023-11-21,colegiatura universidad,Expense,93.63,Education,colegiatura universidad,colegiatura universidad (Education)
2023-11-22,pago renta mensual,Expense,201.9,Rent,pago renta mensual,pago renta mensual (Rent)
2023-11-22,spa masaje,Expense,181.86,Personal Care,spa masaje,spa masaje (Personal Care)
2023-11-22,restaurante italiano,Expense,209.85,Dining Out,restaurante italiano,restaurante italiano (Dining Out)
2023-11-23,ropa de marca,Expense,19.78,Shopping,ropa de marca,ropa de marca (Shopping)
2023-11-24,taxi de noche,Expense,105.19,Transport,taxi de noche,taxi de noche (Transport)
2023-11-24,colegiatura universidad,Expense,274.58,Education,colegiatura universidad,colegiatura universidad (Education)
2023-11-24,spotify ab by adyen 31,Expense,61.16,Subscriptions,spotify ab by adyen 31,spotify ab by adyen 31 (Subscriptions)
2023-11-25,videojuego steam,Expense,13.06,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-11-26,spotify ab by adyen 7,Expense,18.94,Subscriptions,spotify ab by adyen 7,spotify ab by adyen 7 (Subscriptions)
2023-11-27,alquiler coche,Expense,208.15,Travel,alquiler coche,alquiler coche (Travel)
2023-11-27,hotel la playa 69,Expense,116.55,Travel,hotel la playa 69,hotel la playa 69 (Travel)
2023-11-28,videojuego steam,Expense,276.28,Entertainment,videojuego steam,videojuego steam (Entertainment)
2023-11-28,agua y drenaje 68,Expense,167.27,Utilities,agua y drenaje 68,agua y drenaje 68 (Utilities)
2023-11-28,cfe recibo luz,Expense,20.27,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-11-29,reembolso compra,Income,595.89,Refund,reembolso compra,reembolso compra (Refund)
2023-11-30,restaurante italiano 86,Expense,65.54,Dining Out,restaurante italiano 86,restaurante italiano 86 (Dining Out)
2023-12-01,seguro de gastos medicos,Expense,146.44,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-12-01,spa masaje,Expense,198.02,Personal Care,spa masaje,spa masaje (Personal Care)
2023-12-02,agua y drenaje,Expense,167.5,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-12-03,peluqueria corte,Expense,11.94,Personal Care,peluqueria corte,peluqueria corte (Personal Care)
2023-12-03,spotify ab by adyen,Expense,146.77,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-12-03,spa masaje 90,Expense,291.18,Personal Care,spa masaje 90,spa masaje 90 (Personal Care)
2023-12-04,telmex internet,Expense,24.56,Utilities,telmex internet,telmex internet (Utilities)
2023-12-04,gasolinera magna,Expense,203.06,Transport,gasolinera magna,gasolinera magna (Transport)
2023-12-04,tienda de abarrotes,Expense,49.8,Groceries,tienda de abarrotes,tienda de abarrotes (Groceries)
2023-12-05,cfe recibo luz,Expense,189.5,Utilities,cfe recibo luz,cfe recibo luz (Utilities)
2023-12-05,gimnasio membresia,Expense,104.72,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-12-06,hotel la playa,Expense,144.14,Travel,hotel la playa,hotel la playa (Travel)
2023-12-06,walmart compra semanal,Expense,64.49,Groceries,walmart compra semanal,walmart compra semanal (Groceries)
2023-12-06,amazon compra online,Expense,256.62,Shopping,amazon compra online,amazon compra online (Shopping)
2023-12-07,consulta medico,Expense,206.32,Health,consulta medico,consulta medico (Health)
2023-12-07,alquiler coche,Expense,150.15,Travel,alquiler coche,alquiler coche (Travel)
2023-12-07,cafeteria la pausa,Expense,207.81,Dining Out,cafeteria la pausa,cafeteria la pausa (Dining Out)
2023-12-08,telmex internet,Expense,298.72,Utilities,telmex internet,telmex internet (Utilities)
2023-12-08,amazon compra online,Expense,71.13,Shopping,amazon compra online,amazon compra online (Shopping)
2023-12-09,deposito nomina mensual,Income,243.82,Salary,deposito nomina mensual,deposito nomina mensual (Salary)
2023-12-10,alquiler coche,Expense,30.23,Travel,alquiler coche,alquiler coche (Travel)
2023-12-11,libros de texto,Expense,226.68,Education,libros de texto,libros de texto (Education)
2023-12-12,cineplex boletos,Expense,268.88,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-12-12,telmex internet 6,Expense,59.43,Utilities,telmex internet 6,telmex internet 6 (Utilities)
2023-12-12,agua y drenaje,Expense,224.69,Utilities,agua y drenaje,agua y drenaje (Utilities)
2023-12-13,spa masaje,Expense,169.69,Personal Care,spa masaje,spa masaje (Personal Care)
2023-12-13,cineplex boletos,Expense,261.53,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-12-13,cineplex boletos,Expense,29.54,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-12-14,spotify ab by adyen,Expense,123.03,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-12-15,seguro de gastos medicos,Expense,110.48,Health,seguro de gastos medicos,seguro de gastos medicos (Health)
2023-12-15,cfe recibo luz 14,Expense,254.3,Utilities,cfe recibo luz 14,cfe recibo luz 14 (Utilities)
2023-12-16,dividendo acciones,Income,1459.42,Investment,dividendo acciones,dividendo acciones (Investment)
2023-12-16,taxi de noche,Expense,191.44,Transport,taxi de noche,taxi de noche (Transport)
2023-12-17,telmex internet 18,Expense,232.47,Utilities,telmex internet 18,telmex internet 18 (Utilities)
2023-12-17,netflix premium,Expense,199.78,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-12-17,amazon compra online,Expense,49.8,Shopping,amazon compra online,amazon compra online (Shopping)
2023-12-18,cineplex boletos 97,Expense,180.24,Entertainment,cineplex boletos 97,cineplex boletos 97 (Entertainment)
2023-12-18,pago cliente proyecto,Income,303.87,Freelance Income,pago cliente proyecto,pago cliente proyecto (Freelance Income)
2023-12-18,cfe recibo luz 52,Expense,23.07,Utilities,cfe recibo luz 52,cfe recibo luz 52 (Utilities)
2023-12-19,netflix premium,Expense,19.27,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-12-19,recarga mi transporte,Expense,70.33,Transport,recarga mi transporte,recarga mi transporte (Transport)
2023-12-20,reembolso compra 34,Income,242.07,Refund,reembolso compra 34,reembolso compra 34 (Refund)
2023-12-21,concierto ticketmaster,Expense,27.09,Entertainment,concierto ticketmaster,concierto ticketmaster (Entertainment)
2023-12-22,netflix premium,Expense,174.87,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-12-22,mcdonalds burger,Expense,45.1,Dining Out,mcdonalds burger,mcdonalds burger (Dining Out)
2023-12-22,gasolinera magna,Expense,137.79,Transport,gasolinera magna,gasolinera magna (Transport)
2023-12-23,cineplex boletos,Expense,82.75,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-12-24,telmex internet,Expense,226.71,Utilities,telmex internet,telmex internet (Utilities)
2023-12-24,netflix premium,Expense,63.81,Subscriptions,netflix premium,netflix premium (Subscriptions)
2023-12-24,dividendo acciones,Income,276.63,Investment,dividendo acciones,dividendo acciones (Investment)
2023-12-25,uber viaje 79,Expense,259.29,Transport,uber viaje 79,uber viaje 79 (Transport)
2023-12-25,mcdonalds burger 92,Expense,33.84,Dining Out,mcdonalds burger 92,mcdonalds burger 92 (Dining Out)
2023-12-25,telmex internet,Expense,81.9,Utilities,telmex internet,telmex internet (Utilities)
2023-12-26,consulta medico,Expense,63.44,Health,consulta medico,consulta medico (Health)
2023-12-27,cineplex boletos,Expense,30.79,Entertainment,cineplex boletos,cineplex boletos (Entertainment)
2023-12-27,spotify ab by adyen,Expense,257.95,Subscriptions,spotify ab by adyen,spotify ab by adyen (Subscriptions)
2023-12-27,gimnasio membresia,Expense,293.03,Subscriptions,gimnasio membresia,gimnasio membresia (Subscriptions)
2023-12-28,pago renta mensual,Expense,271.18,Rent,pago renta mensual,pago renta mensual (Rent)
2023-12-28,ropa de marca,Expense,246.26,Shopping,ropa de marca,ropa de marca (Shopping)
2023-12-29,electronicos gadget,Expense,9.8,Shopping,electronicos gadget,electronicos gadget (Shopping)
2023-12-29,pago renta mensual,Expense,235.89,Rent,pago renta mensual,pago renta mensual (Rent)
2023-12-29,uber viaje,Expense,219.26,Transport,uber viaje,uber viaje (Transport)
